Category,Resume
Data Scientist,"Data Scientist with experience in machine learning, deep learning, python, sql, pandas, numpy, tensorflow, pytorch, nlp, computer vision, data analysis, statistics."
Data Scientist,"Experience building predictive models, data pipelines. Proficient in Python, Machine Learning, Data Analytics, AWS, Docker, AI solutions."
Mechanical Engineer,"Mechanical Engineer experienced in CAD, AutoCAD, solidworks, thermodynamics, fluid mechanics, manufacturing, HVAC, mechanical design."
Mechanical Engineer,"Skilled in mechanical design, structural analysis, finite element analysis, thermodynamics, MATLAB, and product development."
Software Engineer,"Software engineer with expertise in Java, C++, Python, algorithms, data structures, backend development, REST APIs, microservices, AWS."
Software Engineer,"Full stack developer, node.js, react, javascript, typescript, databases, mongodb, postgresql, git, docker, kubernetes, system design."
HR,"Human resources professional, recruitment, talent acquisition, employee relations, payroll, onboarding, performance management, HR policies."
HR,"HR Manager skilled in sourcing candidates, interviewing, employee engagement, compensation and benefits, labor laws."
Web Developer,"Front-end web developer, HTML, CSS, JavaScript, React, Angular, Vue, responsive design, UI/UX, Bootstrap, Tailwind."
Civil Engineer,"Civil engineer, construction management, structural engineering, AutoCAD, SAP2000, project planning, surveying, concrete design."
Data Scientist,"Data Scientist with experience in machine learning, deep learning, python, sql, pandas, numpy, tensorflow, pytorch, nlp, computer vision, data analysis, statistics."
Data Scientist,"Experience building predictive models, data pipelines. Proficient in Python, Machine Learning, Data Analytics, AWS, Docker, AI solutions."
Mechanical Engineer,"Mechanical Engineer experienced in CAD, AutoCAD, solidworks, thermodynamics, fluid mechanics, manufacturing, HVAC, mechanical design."
Mechanical Engineer,"Skilled in mechanical design, structural analysis, finite element analysis, thermodynamics, MATLAB, and product development."
Software Engineer,"Software engineer with expertise in Java, C++, Python, algorithms, data structures, backend development, REST APIs, microservices, AWS."
Software Engineer,"Full stack developer, node.js, react, javascript, typescript, databases, mongodb, postgresql, git, docker, kubernetes, system design."
HR,"Human resources professional, recruitment, talent acquisition, employee relations, payroll, onboarding, performance management, HR policies."
HR,"HR Manager skilled in sourcing candidates, interviewing, employee engagement, compensation and benefits, labor laws."
Web Developer,"Front-end web developer, HTML, CSS, JavaScript, React, Angular, Vue, responsive design, UI/UX, Bootstrap, Tailwind."
Civil Engineer,"Civil engineer, construction management, structural engineering, AutoCAD, SAP2000, project planning, surveying, concrete design."
Data Scientist,"Data Scientist with experience in machine learning, deep learning, python, sql, pandas, numpy, tensorflow, pytorch, nlp, computer vision, data analysis, statistics."
Data Scientist,"Experience building predictive models, data pipelines. Proficient in Python, Machine Learning, Data Analytics, AWS, Docker, AI solutions."
Mechanical Engineer,"Mechanical Engineer experienced in CAD, AutoCAD, solidworks, thermodynamics, fluid mechanics, manufacturing, HVAC, mechanical design."
Mechanical Engineer,"Skilled in mechanical design, structural analysis, finite element analysis, thermodynamics, MATLAB, and product development."
Software Engineer,"Software engineer with expertise in Java, C++, Python, algorithms, data structures, backend development, REST APIs, microservices, AWS."
Software Engineer,"Full stack developer, node.js, react, javascript, typescript, databases, mongodb, postgresql, git, docker, kubernetes, system design."
HR,"Human resources professional, recruitment, talent acquisition, employee relations, payroll, onboarding, performance management, HR policies."
HR,"HR Manager skilled in sourcing candidates, interviewing, employee engagement, compensation and benefits, labor laws."
Web Developer,"Front-end web developer, HTML, CSS, JavaScript, React, Angular, Vue, responsive design, UI/UX, Bootstrap, Tailwind."
Civil Engineer,"Civil engineer, construction management, structural engineering, AutoCAD, SAP2000, project planning, surveying, concrete design."
Data Scientist,"Data Scientist with experience in machine learning, deep learning, python, sql, pandas, numpy, tensorflow, pytorch, nlp, computer vision, data analysis, statistics."
Data Scientist,"Experience building predictive models, data pipelines. Proficient in Python, Machine Learning, Data Analytics, AWS, Docker, AI solutions."
